no,result,pdf_page,pdf_product_name,pdf_code,pdf_capacity,pdf_lot_text,pdf_quantity,pdf_line,db_page,db_lot_code,db_display_name,db_code,db_capacity,db_lot_text,db_quantity,db_line
73,??,16,赤野 伊太郎 吟醸,401,1800,R7”計1766＝もと場38/北1728＝432,1119,401 1800 R7”計1766＝もと場38/北1728＝432 1119,16,OPEN-20260701-401-0073,赤野 伊太郎 吟醸 1800ml R7”計1766＝もと場38/北1728＝432,401,1800,R7”計1766＝もと場38/北1728＝432,1119,401 1800 R7”計1766＝もと場38/北1728＝432 1119
74,??,16,赤野 伊太郎 吟醸,403,720,R7北西半.計681＝5面*6+2+2）*20+1.,458,403 720 R7北西半.計681＝5面*6+2+2）*20+1. 458,16,OPEN-20260701-403-0074,赤野 伊太郎 吟醸 720ml R7北西半.計681＝5面*6+2+2）*20+1.,403,720,R7北西半.計681＝5面*6+2+2）*20+1.,458,403 720 R7北西半.計681＝5面*6+2+2）*20+1. 458
75,??,16,赤野 伊太郎 吟醸,405,300,R7”北西計2023＝5面*8+2）*45+13（,1377,405 300 R7”北西計2023＝5面*8+2）*45+13（ 1377,16,OPEN-20260701-405-0075,赤野 伊太郎 吟醸 300ml R7”北西計2023＝5面*8+2）*45+13（,405,300,R7”北西計2023＝5面*8+2）*45+13（,1377,405 300 R7”北西計2023＝5面*8+2）*45+13（ 1377
76,??,18,宇宙酒 安芸虎 吟の夢40% 純米大吟醸,2853,720,北G.ﾋﾟﾝｸ手板.2本 8/30,2,2853 720 北G.ﾋﾟﾝｸ手板.2本 8/30 2,18,OPEN-20260701-2853-0076,宇宙酒 安芸虎 吟の夢40% 純米大吟醸 720ml 北G.ﾋﾟﾝｸ手板.2本 8/30,2853,720,北G.ﾋﾟﾝｸ手板.2本 8/30,2,2853 720 北G.ﾋﾟﾝｸ手板.2本 8/30 2
77,??,18,宇宙酒 2006安芸虎 吟の夢50% 純米吟醸,2881,1800,もとば.横列手前②日和崎20黄紙+弊,45,宇宙酒 2006安芸虎 吟の夢50% 純米吟醸 2881 1800 もとば.横列手前②日和崎20黄紙+弊 45,18,OPEN-20260701-2881-0077,宇宙酒 2006安芸虎 吟の夢50% 純米吟醸 1800ml もとば.横列手前②日和崎20黄紙+弊,2881,1800,もとば.横列手前②日和崎20黄紙+弊,45,宇宙酒 2006安芸虎 吟の夢50% 純米吟醸 2881 1800 もとば.横列手前②日和崎20黄紙+弊 45
78,??,18,安芸虎兵の酒大吟醸,26038,375,槽場下7本 8/30,7,安芸虎兵の酒大吟醸 26038 375 槽場下7本 8/30 7,18,OPEN-20260701-26038-0078,安芸虎兵の酒大吟醸 375ml 槽場下7本 8/30,26038,375,槽場下7本 8/30,7,安芸虎兵の酒大吟醸 26038 375 槽場下7本 8/30 7
79,??,19,長期貯蔵酒,25901,1800,扉.右.6本 赤P,6,長期貯蔵酒 25901 1800 扉.右.6本 赤P 6,19,OPEN-20260701-25901-0079,長期貯蔵酒 1800ml 扉.右.6本 赤P,25901,1800,扉.右.6本 赤P,6,長期貯蔵酒 25901 1800 扉.右.6本 赤P 6
80,??,19,長期貯蔵酒,25903,720,扉.右奥7本.8/30黄ｹｯﾄ,7,25903 720 扉.右奥7本.8/30黄ｹｯﾄ 7,19,OPEN-20260701-25903-0080,長期貯蔵酒 720ml 扉.右奥7本.8/30黄ｹｯﾄ,25903,720,扉.右奥7本.8/30黄ｹｯﾄ,7,25903 720 扉.右奥7本.8/30黄ｹｯﾄ 7
81,??,21,楽三,6231,1800,R7北奥計92＝9面+6）*6+2.ﾌｸ60（R6ﾌ,44,楽三 6231 1800 R7北奥計92＝9面+6）*6+2.ﾌｸ60（R6ﾌ 44,21,OPEN-20260701-6231-0081,楽三 1800ml R7北奥計92＝9面+6）*6+2.ﾌｸ60（R6ﾌ,6231,1800,R7北奥計92＝9面+6）*6+2.ﾌｸ60（R6ﾌ,44,楽三 6231 1800 R7北奥計92＝9面+6）*6+2.ﾌｸ60（R6ﾌ 44
82,??,21,楽三,6235,300,R7北入口東計7531＝後方4950前210,5371,6235 300 R7北入口東計7531＝後方4950前210 5371,21,OPEN-20260701-6235-0082,楽三 300ml R7北入口東計7531＝後方4950前210,6235,300,R7北入口東計7531＝後方4950前210,5371,6235 300 R7北入口東計7531＝後方4950前210 5371
83,??,21,楽三最後の一搾り,6261,1800,26ｂｙ扉.左壁.計79＝5*2+3）*6+1 8/,79,楽三最後の一搾り 6261 1800 26ｂｙ扉.左壁.計79＝5*2+3）*6+1 8/ 79,21,OPEN-20260701-6261-0083,楽三最後の一搾り 1800ml 26ｂｙ扉.左壁.計79＝5*2+3）*6+1 8/,6261,1800,26ｂｙ扉.左壁.計79＝5*2+3）*6+1 8/,79,楽三最後の一搾り 6261 1800 26ｂｙ扉.左壁.計79＝5*2+3）*6+1 8/ 79
84,??,21,ﾌｸﾋｶﾘ 6251 1800,6241,1800,北G入口10本＝9ｂｙ9本+10ｂｙ1本 青,10,6241 1800 北G入口10本＝9ｂｙ9本+10ｂｙ1本 青 10,21,OPEN-20260701-6241-0084,ﾌｸﾋｶﾘ 6251 1800 1800ml 北G入口10本＝9ｂｙ9本+10ｂｙ1本 青,6241,1800,北G入口10本＝9ｂｙ9本+10ｂｙ1本 青,10,6241 1800 北G入口10本＝9ｂｙ9本+10ｂｙ1本 青 10
